A	名前はまだ無い。
a	愉快ですね
D	もう帰りませんか
D	ええ帰りましょう
a	君はまだ大分長くここにいるつもりですか
ab	どうだか分りません
ab	先生は？
E	どうも君の顔には見覚えがありませんね。人違いじゃないですか
a	これから折々お宅へ伺っても宜ござんすか
	ええいらっしゃい
ae	たった今出たばかりで、[when]になるか、ならないかでございます
ab	どうして……、どうして……
	私の後を跟けて来たのですか。どうして……
	誰の墓へ参りに行ったか、
d	妻がその人の名をいいましたか
abi	いいえ、そんな事は何もおっしゃいません
a	そうですか。
b	――そう、それはいうはずがありませんね、始めて会ったあなたに。いう必要がないんだから
a	これは何と読むんでしょう
d	アンドレとでも読ませるつもりでしょうね
	あなたは死という事実をまだ真面目に考えた事がありませんね
	もう少しすると、綺麗ですよ。この木がすっかり黄葉して、ここいらの地面は金色の落葉で埋まるようになります
aD	すぐお宅へお帰りですか
	ええ別に寄る所もありませんから
	先生のお宅の墓地はあすこにあるんですか
i	いいえ
	どなたのお墓があるんですか。――ご親類のお墓ですか
i	いいえ
	あすこには私の友達の墓があるんです
	お友達のお墓へ毎月お参りをなさるんですか
ai	そうです
	先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか
	まだ空坊主にはならないでしょう
	今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。私は先生といっしょにあすこいらが散歩してみたい
	私は墓参りに行くんで、散歩に行くんじゃないですよ
	しかしついでに散歩をなすったらちょうど好いじゃありませんか
	私のは本当の墓参りだけなんだから
	じゃお墓参りでも好いからいっしょに伴れて行って下さい。私もお墓参りをしますから
	先生
	私は
	私はあなたに話す事のできないある理由があって、他といっしょにあすこへ墓参りには行きたくないのです。自分の妻さえまだ伴れて行った事がないのです
	あなたは何でそうたびたび私のようなものの宅へやって来るのですか
a	何でといって、そんな特別な意味はありません。
	――しかしお邪魔なんですか
B	邪魔だとはいいません
a	私は淋しい人間です
a	だからあなたの来て下さる事を喜んでいます。
	だからなぜそうたびたび来るのかといって聞いたのです
a	そりゃまたなぜです
k	あなたは幾歳ですか
a	また来ましたね
	ええ来ました
a	私は淋しい人間です
	私は淋しい人間ですが、ことによるとあなたも淋しい人間じゃないですか。私は淋しくっても年を取っているから、動かずにいられるが、若いあなたはそうは行かないのでしょう。動けるだけ動きたいのでしょう。動いて何かに打つかりたいのでしょう……
a	私はちっとも淋しくはありません
a	若いうちほど淋しいものはありません。
	そんならなぜあなたはそうたびたび私の宅へ来るのですか
	あなたは私に会ってもおそらくまだ淋しい気がどこかでしているでしょう。私にはあなたのためにその淋しさを根元から引き抜いて上げるだけの力がないんだから。あなたは外の方を向いて今に手を広げなければならなくなります。今に私の宅の方へは足が向かなくなります
	お前も一つお上がり
ab	私は……
a	珍らしい事。
	私に呑めとおっしゃった事は滅多にないのにね
a	お前は嫌いだからさ。
	しかし稀には飲むといいよ。
a	好い心持になるよ
	ちっともならないわ。苦しいぎりで。でもあなたは大変ご愉快そうね
a	でもあなたは大変ご愉快そうね
	、少しご酒を召し上がると
	時によると大変愉快になる。しかしいつでもというわけにはいかない
e	今夜はいかがです
a	今夜は好い心持だね
	これから毎晩少しずつ召し上がると宜ござんすよ
ab	そうはいかない
a	召し上がって下さいよ。その方が淋しくなくって好いから
	子供でもあると好いんですがね
ab	そうですな
	一人貰ってやろうか
	貰ッ子じゃ、ねえあなた
	子供はいつまで経ったってできっこないよ
a	なぜです
ag	天罰だからさ
	おい静
ab	今日は駄目です
a	愉快になれませんか
ab	君、今夜はどうかしていますね
	実は私も少し変なのですよ。君に分りますか
	実は先刻妻と少し喧嘩をしてね。それで下らない神経を昂奮させてしまったんです
ab	どうして……
	妻が私を誤解するのです。それを誤解だといって聞かせても承知しないのです。つい腹を立てたのです
	どんなに先生を誤解なさるんですか
	妻が考えているような人間なら、私だってこんなに苦しんでいやしない
a	悪い事をした。
	怒って出たから妻はさぞ心配をしているだろう。
	考えると女は可哀そうなものですね。
	私の妻などは私より外にまるで頼りにするものがないんだから
	そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。
ab	君、私は君の眼にどう映りますかね。
	強い人に見えますか、弱い人に見えますか
C	中位に見えます
	ついでにお宅の前までお伴しましょうか
D	もう遅いから早く帰りたまえ。私も早く帰ってやるんだから、妻君のために
adg	妻君のために
	妻君のために
	私は世の中で女というものをたった一人しか知らない。妻以外の女はほとんど女として私に訴えないのです。妻の方でも、私を天下にただ一人しかない男と思ってくれています。そういう意味からいって、私たちは最も幸福に生れた人間の一対であるべきはずです
	最も幸福に生れた人間の一対であるべきはずです
a	私のようなものが世の中へ出て、口を利いては済まない
ag	どうしても私は世間に向かって働き掛ける資格のない男だから仕方がありません
	先生はなぜああやって、宅で考えたり勉強したりなさるだけで、世の中へ出て仕事をなさらないんでしょう
ad	あの人は駄目ですよ。そういう事が嫌いなんですから
ab	つまり下らない事だと悟っていらっしゃるんでしょうか
	悟るの悟らないのって、――そりゃ女だからわたくしには解りませんけれど、おそらくそんな意味じゃないでしょう。やっぱり何かやりたいのでしょう。それでいてできないんです。だから気の毒ですわ
	しかし先生は健康からいって、別にどこも悪いところはないようじゃありませんか
	丈夫ですとも。何にも持病はありません
	それでなぜ活動ができないんでしょう
b	それが解らないのよ、あなた。それが解るくらいなら私だって、こんなに心配しやしません。わからないから気の毒でたまらないんです
ab	若い時はあんな人じゃなかったんですよ。若い時はまるで違っていました。それが全く変ってしまったんです
	若い時っていつ頃ですか
e	書生時代よ
	書生時代から先生を知っていらっしゃったんですか
	本当いうと合の子なんですよ
	新婚の夫婦のようだね
a	仲が好さそうですね
ak	君は恋をした事がありますか
ak	恋をしたくはありませんか
	したくない事はないでしょう
ai	ええ
	君は今あの男と女を見て、冷評しましたね。あの冷評のうちには君が恋を求めながら相手を得られないという不快の声が交っていましょう
a	そんな風に聞こえましたか
a	聞こえました。
	恋の満足を味わっている人はもっと暖かい声を出すものです。しかし……しかし君、恋は罪悪ですよ。解っていますか
ak	恋は罪悪ですか
	罪悪です。たしかに
a	なぜですか
ag	なぜだか今に解ります。今にじゃない、もう解っているはずです。
	あなたの心はとっくの昔からすでに恋で動いているじゃありませんか
ag	私の胸の中にこれという目的物は一つもありません。
ab	私は先生に何も隠してはいないつもりです
ag	目的物がないから動くのです。あれば落ち付けるだろうと思って動きたくなるのです
	今それほど動いちゃいません
	あなたは物足りない結果私の所に動いて来たじゃありませんか
ai	それはそうかも知れません。
a	しかしそれは恋とは違います
	恋に上る楷段なんです。異性と抱き合う順序として、まず同性の私の所へ動いて来たのです
ab	私には二つのものが全く性質を異にしているように思われます
	いや同じです。私は男としてどうしてもあなたに満足を与えられない人間なのです。それから、ある特別の事情があって、なおさらあなたに満足を与えられないでいるのです。
a	私は実際お気の毒に思っています。
	あなたが私からよそへ動いて行くのは仕方がない。
	私はむしろそれを希望しているのです。しかし……
	私が先生から離れて行くようにお思いになれば仕方がありませんが、
ai	私にそんな気の起った事はまだありません
a	しかし気を付けないといけない。
	恋は罪悪なんだから。私の所では満足が得られない代りに危険もないが、――
	君、黒い長い髪で縛られた時の心持を知っていますか
